,utility,eiaid,name,label,enddate,demandrateunit,flatdemandunit,uri,sector,description,source,peakkwcapacitymax,peakkwcapacitymin,peakkwhuseagemax,peakkwhuseagemin,voltagecategory,phasewiring
2644,Virginia Tech Electric Service,19882,Residential,539f7517ec4f024411ed1043,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f721cec4f024411ecedff,Residential,,http://www.vtes.vt.edu/rates.aspx,,,,,,
2645,Penoyer Valley Electric Coop,40497,Lincoln County Residential,539f7517ec4f024411ed1049,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f7517ec4f024411ed1049,Residential,,,,,,,,
2646,"Village of Greenwich, Ohio (Utility Company)",7643,Residential- Single Phase,539f7527ec4f024411ed104f,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f7527ec4f024411ed104f,Residential,"The existing electrical distribution system is available for full domestic electric service, commercial service and industrial service.",http://www.amlegal.com/nxt/gateway.dll/Ohio/greenwich_oh/codifiedordinancesofgreenwichohio?f=templates$fn=default.htm$3.0$vid=amlegal:greenwich_oh,,,,,,
2647,"City of Tuscumbia, Alabama (Utility Company)",19307,Residential Rate,539f7527ec4f024411ed1063,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f7527ec4f024411ed1063,Residential,,Rate Binder#4 (Illinois State University),,,,,,
2648,"City of Burlington, Colorado (Utility Company)",2550,Residential,539f7527ec4f024411ed1067,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f7527ec4f024411ed1067,Residential,"Residential service is available for single-family dwelling units and individually metered multifamily dwelling units at any location within the area served by the city. Single-family dwelling units and individually metered multifamily dwelling units shall mean those buildings or units used solely as residences and not used in part for any other purpose

Purchased Power Cost Adjustment
*All Electrical energy sold by the city shall be subject to a monthly purchased power cost adjustment equal to one hundred percent (100%) of the purchased power cost charged to the city by its suppliers of wholesale electrical energy minus unadjusted revenue based on the Purchased Power Base Charge listed in this ordinance.",https://library.municode.com/HTML/16025/level2/TIT13PUSE_CH13.12ELSERE.html#TIT13PUSE_CH13.12ELSERE_13.12.080RA,,,,,,
2651,"City of Anaheim, California (Utility Company)",590,Residential- Schedule DS Rate B,539f7527ec4f024411ed108b,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f7527ec4f024411ed108b,Residential,"Applicable to domestic service including lighting, heating, cooking and power or combination thereof in a
single-family accommodation.

*Rate B - Applicable where the customer is entitled to the additional lifeline allowance for electric water heating.
*Power Cost Adjustment $0.015
*Environmental Mitigation Adjustment $0.015",http://www.anaheim.net/utilities/ElectricRules/SCHD-D.pdf,,,,,,
2653,Manitowoc Public Utilities,11571,Rg-1 Residential Service Single Phase,55b644b45457a39259995e8b,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/55b644b45457a39259995e8b,Residential,,http://psc.wi.gov/apps40/tariffs/viewfile.aspx?type=electric&id=3320,,,,,,Single Phase
2656,"Lake Region Electric Coop, Inc",10599,Residential   Three-phase,539f7528ec4f024411ed10cb,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f7528ec4f024411ed10cb,Residential,"This rate is available to all Members of the cooperative for all uses, subject to its established rules and regulations of the Cooperative. Service under this schedule is limited to Members whose load requirements do not exceed 50 kVA of transformer capacity. Members requiring outdoor lightning service shall be served under the applicable outdoor lightning service schedule.",http://www.lrecok.coop/content.cfm?id=2024,,,,,,
2657,"City of Tyler, Minnesota (Utility Company)",19332,Residential,539f7528ec4f024411ed10d7,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f7528ec4f024411ed10d7,Residential,Subject to Power Purchase Costs,ISU Documentation,,,,,,
2658,"Town of Culpeper, Virginia (Utility Company)",4619,Residential,539f7528ec4f024411ed10e1,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f7528ec4f024411ed10e1,Residential,,http://www.culpeperva.gov/officials/treasurer/Residential_Electric.htm,,,,,,Single Phase
2659,"City of Nicholasville, Kentucky (Utility Company)",13577,Residential,539f7528ec4f024411ed10e5,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f7528ec4f024411ed10e5,Residential,"Residential service shall be provided to residential customers in single-family dwelling units when electric service supplied to the dwelling unit is used for household purposes and is metered through one (1) meter. If a portion of the electric service supplied to a dwelling unit is used for nonresidential purposes, and the customer can arrange wiring in such a manner that the electric service for residential purposes and nonresidential purposes can be metered separately, this rate schedule is applicable to the portion used for residential purposes. If not separated then billing shall be made as a commercial service.",http://www.nicholasville.org/forms/ElecRate6-8-09.pdf,,,,,,
2660,"City of Gardner, Kansas (Utility Company)",6949,City of Gardner,539f7529ec4f024411ed10f1,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f7529ec4f024411ed10f1,Residential,The City of Gardner rate is available to any building or facility owned by the City.,http://gardnerkansas.gov/index.php/electric_rates_service_rules/,,,,,,
2661,"Town of Stowe, Vermont (Utility Company)",27316,Residential Storage Heating Rate 11,539f7529ec4f024411ed10fd,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f7529ec4f024411ed10fd,Residential,,www.townofstowevt.org/images/photos/sed_2014_rates.pdf,,,,,Secondary,Single Phase
2662,"City of Bridgeport Utilities, Nebraska",1955,Residential service rate,539f7538ec4f024411ed111b,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f7538ec4f024411ed111b,Residential,,http://www.cityofbport.com/index.php?page_id=khhcxxmp&description=Electric_Rates,,,,,,Single Phase
2665,"Borough of Berlin, Pennsylvania (Utility Company)",1618,Residential,539f7538ec4f024411ed113b,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f7538ec4f024411ed113b,Residential,,Illinois State University Documentation,,,,,,
2666,Pascoag Utility District,14537,Residential Standard Offer,539f7539ec4f024411ed1145,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f7539ec4f024411ed1145,Residential,"* This rate is available for domestic uses in an individual residence or an individual apartment.

* 120-240 volts, 3 wire, single phase",http://www.pud-ri.org/wp-content/uploads/2013/05/2014-Rate-Change.pdf,,,,,Secondary,Single Phase
2668,Comanche County Elec Coop Assn,4295,Residential,539f7539ec4f024411ed1159,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f7539ec4f024411ed1159,Residential,"*All kWh subject to PCRF. This PCRF can change from month to month, based on the cost of the fuel used to generate electricity.",http://www.ceca.coop/customerService/feesRates.aspx,,,,,,
2669,"City of Ellinwood, Kansas (Utility Company)",5802,Residential Rate (3-phase),539f7539ec4f024411ed115f,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f7539ec4f024411ed115f,Residential,,,,,,,,
2675,"City of Battle Creek, Nebraska (Utility Company)",1346,Residential,539f7539ec4f024411ed1187,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f7539ec4f024411ed1187,Residential,,ISU Documentation,,,,,,
2677,"City of Mason, Texas (Utility Company)",11793,Residential service,539f753aec4f024411ed11ad,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f753aec4f024411ed11ad,Residential,,http://www.mason.tx.citygovt.org/Portals/MasonTX/City%20of%20Mason%20Fee%20Schedule%202010R%20final.pdf,,,,,,
2678,"City of Readlyn, Iowa (Utility Company)",15751,Residential Rate,539f753aec4f024411ed11af,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f753aec4f024411ed11af,Residential,,Illinois State University documentation,,,,,,
2681,"Broad River Electric Coop, Inc (North Carolina)",2212,Rate Code 16 Single-Phase,539f754aec4f024411ed1201,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f754aec4f024411ed1201,Residential,"Available only to residential consumers of the Cooperative in residences, condominiums, mobile homes or individually metered apartments.",ISU Document,,,,,,
2685,Arab Electric Coop Inc,750,Residential Rate,539f754aec4f024411ed1235,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f754aec4f024411ed1235,Residential,,ISU Documentation,,,,,,
2686,"Escambia River Elec Coop, Inc",5964,Residential Service-RS,539f754aec4f024411ed123d,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f754aec4f024411ed123d,Residential,Applicable for residential use and for use incidental thereto supplied through one meter.,ISU Documentation,,,,,,
2688,"City of Wessington Springs, South Dakota (Utility Company)",20359,1 Ele Res,539f754aec4f024411ed1247,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f754aec4f024411ed1247,Residential,,Illinois State University Archives,,,,,,
2690,"City of Grand Marais, Minnesota (Utility Company)",7487,RESIDENTIAL - THREE PHASE,539f754bec4f024411ed126f,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6ddcec4f024411ecbb03,Residential,,"rates attached to pdf
https://cas.sharepoint.illinoisstate.edu/grants/Sunshot/Lists/RATE%20UPDATE%20Data%20Entry/Attachments/1832/gand%20marais%202014.pdf",,,,,,3-Phase
2692,"City of Burlingame, Kansas (Utility Company)",2547,Residential (out-of-town),539f754bec4f024411ed1287,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f754bec4f024411ed1287,Residential,,http://www.burlingameks.com/documents/pdf/Utility%20Rates.pdf,,,,,,
2693,"Village of Riverton, Illinois (Utility Company)",16092,Residential: Outside corporate limits of Riverton,539f755aec4f024411ed12ab,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6fd9ec4f024411ecd2ef,Residential,,http://riverton.illinois.gov/pdf/rateAnalysis.pdf,,,,,,
2694,"City of Madison, Nebraska (Utility Company)",11481,Heat Pump- Rural,539f755aec4f024411ed12b3,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f755aec4f024411ed12b3,Residential,,ISU Documentation,,,,,,
2695,Page Electric Utility,14373,Residential Service below 200 Amps,539f755bec4f024411ed12d5,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f755bec4f024411ed12d5,Residential,,pageazpower.com/services---rates.html,,,,,,
2698,Rancho Cucamonga Municipal Utility,56224,Residential - Single Family,539f755bec4f024411ed12e9,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f755bec4f024411ed12e9,Residential,"Applicable to individual accommodations devoted primarily to domestic purposes where service includes lighting, appliances, heating, cooking and power consuming appliances or combination thereof in a residential accommodation",,,,,,,Single and 3-Phase
2700,"City of Harrisonburg, Virginia (Utility Company)",8198,Residential,539f755bec4f024411ed12f3,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f755bec4f024411ed12f3,Residential,"This Schedule shall apply to electric service in a single private dwelling and its appurtenances, the major use of which is for lighting and household appliances for the personal comfort and convenience of those residing therein. Private dwelling in which space is occasionally used for the conduct of business by a person residing therein will be served under this rate. Where a portion of a dwelling is used regularly for the conduct of business, the electricity consumed in that portion so used will be separately metered and billed under the General Service Rate; if separate circuits are not provided by the customer, service to the entire premises shall be billed under the General Service Rate. This Schedule shall not apply to service to institutions such as clubs, fraternities, recognized rooming or boarding houses or the space in an apartment or other residential building primarily devoted to use as an office or studio for professional or other gainful purposes.",https://www.harrisonburgelectric.com/customers/rate_schedule/,,,,,,
2701,"City of South Sioux City, Nebraska (Utility Company)",17577,Residential Service,539f755cec4f024411ed132f,,,,http://en.openei.org/apps/USURDB/rate/view/539f755cec4f024411ed132f,Residential,"Residential customers for all domestic purposes, including single phase motors of not more than 5 HP individual capacity.",ISU Documentation,,,,,,Single Phase
2703,"Newnan Wtr, Sewer & Light Comm",13547,Residential Power Rates,539f755cec4f024411ed1337,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f755cec4f024411ed1337,Residential,Minimum monthly bill: $9.00,https://www.newnanutilities.org/power-rates.html,,,,,,
2709,"Village of Pardeeville, Wisconsin (Utility Company)",14451,Rg-1 Residential Service Single Phase,539f756bec4f024411ed1377,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f756bec4f024411ed1377,Residential,Fixed Monthly Charge includes Commitment to Community Rider: $1.00 per customer per month,http://psc.wi.gov/apps40/tariffs/viewfile.aspx?type=electric&id=4530,,,,,,Single Phase
2711,"City of Milan, Tennessee (Utility Company)",12532,Residential,560dad375457a3513b8b4568,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/560dad375457a3513b8b4568,Residential,,http://www.mpu1.com/electricrates.asp,,,,,,
2714,"City of Rushford, Minnesota (Utility Company)",16427,City Service - Multi phase,539f756cec4f024411ed13c9,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f756cec4f024411ed13c9,Residential,"Available for multi-phase use with required transformer capacity of 50 kVa and less or not included in the availability provision of the Small Commercial Rate.

Power Cost Adjustments: all rates are subject to a pass-through increase or decrease in wholesale purchased power costs.Monthly adjustments in the PCA will be reviewed to determine if an adjustment is required.",http://rushford.govoffice.com/index.asp?Type=B_BASIC&SEC={6437E086-A45B-4B1C-A017-D4BEDFE48F8C}&DE={2C4B9DDA-CE02-49C4-B171-93CA3FF55B71},,,,,,
2715,"Village of Muscoda, Wisconsin (Utility Company)",13145,Rg-1 Residential Service Three Phase,55b93e5b5457a31153995e8c,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/55b93e5b5457a31153995e8c,Residential,,http://psc.wi.gov/apps40/tariffs/viewfile.aspx?type=electric&id=4000,,,,,,3-Phase
2716,Whitewater Valley Rural EMC,20216,Schedule RES - Farm and Residential Service (Multi Phase),539f756dec4f024411ed13e1,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f756dec4f024411ed13e1,Residential,For residential and Farm Use. Only available to acounts connected in current customer name prior to 2001,http://www.wwvremc.com/documents/Res_Rate_Schedules_Effective_May_1_2010.pdf,,,,,,3-Phase
2717,Atlantic Municipal Utilities,965,Residential (Three Phase),55c271a85457a3c80ee28f8a,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/55c271a85457a3c80ee28f8a,Residential,,http://a-m-u.net/residential-electric-rates/,,,,,,
2718,"City of Lake City, Minnesota (Utility Company)",10595,Residential Rural,539f756dec4f024411ed13f1,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f756dec4f024411ed13f1,Residential,,http://www.ci.lake-city.mn.us/vertical/sites/%7B95AE24C2-7B77-4EE6-9D85-64F563A03DED%7D/uploads/Chapter_51_-_Updated_11.19.15.pdf,,,,,,
2724,"City of Hinton, Iowa (Utility Company)",8610,Commercial Dual Heat Energy Submeter.,539f756dec4f024411ed1423,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f756dec4f024411ed1423,Residential,Residential customers for all domestic uses in single family dwellings and individually meters apartments including use of motors not more than 5 HP individual capacity.,Rate Binder# 1B(Illinois State University),,,,,,
